id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
157785,216776,A Broken Halo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78010,34292,Chalo Chalo,NULL,2016-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95826,207684,Chasing Halo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146591,142245,Coral: A Halo Fan Game,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9146,127252,DAHALO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181119,8206,Eschalon: Book I,NULL,2007-11-19 00:00:00.000,6,NULL,NULL,NULL,75.0255,6
176237,8207,Eschalon: Book II,NULL,2010-05-12 00:00:00.000,3,NULL,NULL,NULL,70.1416,5
69990,8208,Eschalon: Book III,NULL,2014-02-14 00:00:00.000,3,NULL,NULL,NULL,50.0000,4
93859,105758,game of chaloupe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115727,986,Halo 2,NULL,2004-11-09 00:00:00.000,150,NULL,80.6667,7,84.6599,479
66697,125009,Halo 2: Anniversary,NULL,2014-11-11 00:00:00.000,2,NULL,80.0000,1,86.7839,20
154426,45149,Halo 2: Limited Collector's Edition,NULL,2004-11-09 00:00:00.000,NULL,NULL,NULL,NULL,80.0242,5
38128,18286,Halo 2600,"The player uses the joystick to control the character of Master Chief as he makes his way through 64 screens, divided into four zones: outdoors, Covenant base, ice world, and a final boss area.[1][2] Weapons and power-ups are available to combat the many enemies that appear. The player and enemies can each be killed by one hit unless a shield is collected.[1][3] There are two power-ups in the game, both guarded by what appears to be nine enemies but is actually three. The first is a gun with a faster rate of fire. The second is a pair of boots that allows the player to move faster. In addition to these, by killing certain enemies, the player can obtain an energy shield that will take one shot to prevent the loss of one of the player's three lives. After successfully completing the game once, the game returns to the menu screen, but with a red sky. If the player chooses to play again from that screen the game will run in ""Legendary"" mode and the player will move and shoot at a slower rate.",2010-07-08 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
